made H have same vol number as assay partner but 0 for strain,,,,,,,,,
assay,time(day),strain,organism,Vol_number,rep1,rep2,rep3,rep4,oriSource
"coculture_1,53",8,MIT9215,P,1,7.40E+04,6.46E+04,7.94E+04,5.33E+04,BCC-1-31
"coculture_1,53",0,CC9605,S,53,3.28E+04,3.96E+04,4.42E+04,4.76E+04,BCC-1-31
"coculture_1,53",1,,,53,3.82E+04,3.93E+04,4.20E+04,5.02E+04,BCC-1-31
"coculture_1,53",4,,,53,8.94E+04,8.08E+04,1.10E+05,1.07E+05,BCC-1-31
"coculture_1,53",6,,,53,3.32E+05,3.19E+05,4.20E+05,4.10E+05,BCC-1-31
"coculture_1,53",8,,,53,9.98E+05,9.77E+05,1.16E+06,1.19E+06,BCC-1-31
"coculture_1,53",0,0,H,"1,53",355.4315881,NA,344.1792328,NA,BCC-1-31
"coculture_1,53",1,0,H,"1,53",361.4130774,NA,350.1709909,NA,BCC-1-31
"coculture_1,53",4,0,H,"1,53",308.4653637,NA,278.0890489,NA,BCC-1-31
"coculture_1,53",6,0,H,"1,53",214.8626559,NA,159.505292,NA,BCC-1-31
"coculture_1,53",8,0,H,"1,53",37.94417217,NA,21.32562535,NA,BCC-1-31
"coculture_1,54",0,MIT9215,P,1,2.65E+05,2.52E+05,2.79E+05,2.64E+05,BCC-1-31
"coculture_1,54",1,MIT9215,P,1,6.32E+04,7.03E+04,6.31E+04,5.99E+04,BCC-1-31
"coculture_1,54",4,MIT9215,P,1,8.79E+03,7.37E+03,3.68E+03,5.24E+03,BCC-1-31
"coculture_1,54",6,MIT9215,P,1,4.39E+03,5.53E+03,3.83E+03,3.68E+03,BCC-1-31
"coculture_1,54",8,MIT9215,P,1,4.95E+03,5.66E+03,7.08E+03,6.23E+03,BCC-1-31
"coculture_1,54",0,WH8102,S,54,5.04E+04,5.86E+04,6.07E+04,5.84E+04,BCC-1-31
"coculture_1,54",1,WH8102,S,54,4.19E+04,4.32E+04,3.73E+04,3.90E+04,BCC-1-31
"coculture_1,54",4,WH8102,S,54,2.28E+04,2.42E+04,1.54E+04,1.83E+04,BCC-1-31
"coculture_1,54",6,WH8102,S,54,3.29E+04,3.17E+04,1.63E+04,1.43E+04,BCC-1-31
"coculture_1,54",8,WH8102,S,54,8.28E+04,7.88E+04,2.60E+04,2.83E+04,BCC-1-31
"coculture_1,54",0,0,H,"1,54",345.2920344,NA,349.343633,NA,BCC-1-31
"coculture_1,54",1,0,H,"1,54",363.3373473,NA,356.7788775,NA,BCC-1-31
"coculture_1,54",4,0,H,"1,54",340.9910024,NA,323.0955139,NA,BCC-1-31
"coculture_1,54",6,0,H,"1,54",345.7883093,NA,340.3518279,NA,BCC-1-31
"coculture_1,54",8,0,H,"1,54",236.2344236,NA,289.1280297,NA,BCC-1-31
"coculture_1,55",0,MIT9215,P,1,2.10E+05,2.10E+05,2.82E+05,2.56E+05,BCC-1-31
"coculture_1,55",1,MIT9215,P,1,2.76E+05,2.79E+05,3.39E+05,3.38E+05,BCC-1-31
"coculture_1,55",4,MIT9215,P,1,6.49E+05,6.31E+05,8.23E+05,7.85E+05,BCC-1-31
"coculture_1,55",6,MIT9215,P,1,1.30E+06,1.25E+06,1.52E+06,1.46E+06,BCC-1-31
"coculture_1,55",8,MIT9215,P,1,2.06E+06,2.32E+06,2.44E+06,2.52E+06,BCC-1-31
"coculture_1,55",0,0,H,"1,55",346.3300236,NA,366.926106,NA,BCC-1-31
"coculture_1,55",1,0,H,"1,55",7.748623668,NA,7.976056651,NA,BCC-1-31
"coculture_1,55",4,0,H,"1,55",15.69993859,NA,15.63815923,NA,BCC-1-31
"coculture_1,55",6,0,H,"1,55",10.73748132,NA,18.28887596,NA,BCC-1-31
"coculture_1,55",8,0,H,"1,55",0.728308909,NA,0.397049721,NA,BCC-1-31
