made H have same vol number as assay partner but 0 for strain,,,,,,,,,,natural log ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assay,time(hr),strain,organism,Vol_number,rep1,rep2,rep3,rep4,raw_abundance,log_abundance,HOOH_stdv,log_sigma,oriSource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,1,CCMP1545,D,58,7.94E+04,9.09E+04,9.50E+04,1.04E+05,NA,4.96304865,NA,0.049248633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,2,CCMP1545,D,58,1.16E+05,1.23E+05,1.76E+05,1.66E+05,NA,5.1539304,NA,0.09136795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,5,CCMP1545,D,58,6.62E+05,7.08E+05,8.46E+05,8.67E+05,NA,5.883648051,NA,0.057534116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,0,0,H,58,NA,NA,NA,NA,59.08967717,1.771511617,2.005575946,0.302239112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,1,0,H,58,NA,NA,NA,NA,99.0822277,1.995995762,3.798649369,0.579629208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,2,0,H,58,NA,NA,NA,NA,76.6629753,1.88458567,7.989918753,0.902542363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,5,0,H,58,NA,NA,NA,NA,101.371163,2.005914429,0.339385687,-0.469306477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,0,CCMP1545,D,58,6.16E+04,6.54E+04,5.87E+04,6.43E+04,NA,4.795402634,NA,0.020887298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,1,CCMP1545,D,58,1.05E+05,9.74E+04,1.00E+05,9.91E+04,NA,5.001012992,NA,0.013255315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,2,CCMP1545,D,58,1.75E+05,1.85E+05,1.60E+05,1.63E+05,NA,5.232192121,NA,0.028202915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,5,CCMP1545,D,58,8.70E+05,8.44E+05,7.51E+05,8.52E+05,NA,5.917870779,NA,0.028735746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,0,0,H,58,NA,NA,NA,NA,346.9055332,2.540211227,3.653046011,0.562655142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,1,0,H,58,NA,NA,NA,NA,326.7040665,2.51415454,0.014966275,-1.824886286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,2,0,H,58,NA,NA,NA,NA,228.6939618,2.359254698,4.069748008,0.609567519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,5,0,H,58,NA,NA,NA,NA,111.3329932,2.046623885,2.166987437,0.335856393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,0,CCMP2972A,D,59,9.69E+04,8.62E+04,8.54E+04,9.31E+04,NA,4.955340274,NA,0.02652205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,1,CCMP2972A,D,59,1.76E+05,1.76E+05,1.68E+05,1.70E+05,NA,5.236567819,NA,0.010455895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,2,CCMP2972A,D,59,3.32E+05,3.37E+05,3.12E+05,3.37E+05,NA,5.517645347,NA,0.015996184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,5,CCMP2972A,D,59,1.41E+06,1.42E+06,1.39E+06,1.45E+06,NA,6.15272595,NA,0.007519004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,0,0,H,59,NA,NA,NA,NA,56.43382442,1.751539483,3.383500671,0.529366267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,1,0,H,59,NA,NA,NA,NA,94.68013003,1.976258846,5.402477141,0.732592938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,2,0,H,59,NA,NA,NA,NA,69.70502276,1.843264073,5.646654962,0.751791251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,5,0,H,59,NA,NA,NA,NA,85.24920143,1.930690319,4.180282844,0.621205668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,0,CCMP2972A,D,59,8.38E+04,8.23E+04,9.72E+04,8.56E+04,NA,4.939492196,NA,0.032683969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,1,CCMP2972A,D,59,1.50E+05,1.54E+05,1.92E+05,1.70E+05,NA,5.219275908,NA,0.04914411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,2,CCMP2972A,D,59,2.98E+05,3.07E+05,3.54E+05,3.51E+05,NA,5.513769558,NA,0.038918097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,5,CCMP2972A,D,59,1.37E+06,1.33E+06,1.21E+06,1.25E+06,NA,6.110041746,NA,0.024734313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,0,0,H,59,NA,NA,NA,NA,346.7943814,2.540072053,22.47322834,1.351665464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,1,0,H,59,NA,NA,NA,NA,329.6207229,2.518014507,23.36919996,1.368643845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,2,0,H,59,NA,NA,NA,NA,231.4092916,2.364380793,16.55287706,1.21887349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,5,0,H,59,NA,NA,NA,NA,99.71203246,1.998747569,2.041226653,0.30989123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,0,CAOTH95,D,60,4.08E+04,4.18E+04,4.26E+04,4.39E+04,NA,4.625853413,NA,0.013574696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,1,CAOTH95,D,60,6.32E+04,5.89E+04,5.86E+04,6.16E+04,NA,4.78202962,NA,0.015597969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,2,CAOTH95,D,60,5.79E+04,6.03E+04,6.26E+04,6.20E+04,NA,4.783055362,NA,0.01512216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,5,CAOTH95,D,60,3.95E+04,4.11E+04,2.69E+04,2.85E+04,NA,4.522345639,NA,0.094822177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,0,0,H,60,NA,NA,NA,NA,55.22042899,1.742099776,2.081731909,0.318424799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,1,0,H,60,NA,NA,NA,NA,90.99544465,1.959019652,3.377621376,0.528610964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,2,0,H,60,NA,NA,NA,NA,66.18185668,1.820738947,1.692376068,0.228496875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,5,0,H,60,NA,NA,NA,NA,113.6979763,2.055752735,0.360158674,-0.443506122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,0,CAOTH95,D,60,3.98E+04,3.84E+04,3.67E+04,3.70E+04,NA,4.578930798,NA,0.016319141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,1,CAOTH95,D,60,6.45E+04,6.08E+04,6.25E+04,6.15E+04,NA,4.794254736,NA,0.011198379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,2,CAOTH95,D,60,5.71E+04,5.98E+04,5.72E+04,5.74E+04,NA,4.762180107,NA,0.009485434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,5,CAOTH95,D,60,3.51E+04,3.77E+04,3.87E+04,3.81E+04,NA,4.572493471,NA,0.018320923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,0,0,H,60,NA,NA,NA,NA,335.3251812,2.525466168,0.552105317,-0.25797807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,1,0,H,60,NA,NA,NA,NA,320.4963377,2.505823071,2.804262229,0.447818622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,2,0,H,60,NA,NA,NA,NA,257.3426625,2.41051179,0.251788391,-0.598964297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,5,0,H,60,NA,NA,NA,NA,254.751469,2.406116697,1.596853168,0.203264984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",0,MIT9215,P,1,1.49E+06,1.49E+06,1.53E+06,1.59E+06,NA,6.182975001,NA,0.014074647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",1,MIT9215,P,1,1.34E+06,1.44E+06,1.44E+06,1.31E+06,NA,6.140200247,NA,0.022107415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",2,MIT9215,P,1,6.64E+05,7.12E+05,6.74E+05,6.36E+05,NA,5.826766513,NA,0.020319516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",5,MIT9215,P,1,1.46E+06,1.42E+06,1.48E+06,1.55E+06,NA,6.169297091,NA,0.015064506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",0,RCC299,D,57,5.95E+04,7.44E+04,8.56E+04,1.04E+05,NA,4.897057147,NA,0.101587529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",1,RCC299,D,57,7.76E+04,1.01E+05,9.53E+04,8.76E+04,NA,4.953744472,NA,0.04988075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",2,RCC299,D,57,1.73E+05,1.78E+05,1.64E+05,1.66E+05,NA,5.230879898,NA,0.016148395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",5,RCC299,D,57,8.78E+05,9.01E+05,9.56E+05,9.60E+05,NA,5.965168303,NA,0.019222287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",0,0,H,"1,57",NA,NA,NA,NA,306.686691,2.48669493,4.14821229,0.617860974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",1,0,H,"1,57",NA,NA,NA,NA,331.8282526,2.52091336,2.960886035,0.471421692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",2,0,H,"1,57",NA,NA,NA,NA,267.757917,2.427742321,1.383023094,0.140829432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,57",5,0,H,"1,57",NA,NA,NA,NA,112.4142021,2.050821182,1.076405638,0.031975964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",0,MIT9215,P,1,1.40E+06,1.49E+06,1.44E+06,1.43E+06,NA,6.157813324,NA,0.010992052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",1,MIT9215,P,1,1.40E+06,1.34E+06,1.23E+06,1.29E+06,NA,6.118865431,NA,0.024684791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",2,MIT9215,P,1,5.15E+05,5.49E+05,6.00E+05,6.35E+05,NA,5.757923588,NA,0.040268473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",5,MIT9215,P,1,1.40E+06,1.58E+06,1.50E+06,1.49E+06,NA,6.173288951,NA,0.020888047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",0,CCMP1545,D,58,5.59E+04,6.25E+04,7.18E+04,5.87E+04,NA,4.791748876,NA,0.047066783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",1,CCMP1545,D,58,9.69E+04,8.45E+04,8.61E+04,1.09E+05,NA,4.970660971,NA,0.050824954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",2,CCMP1545,D,58,1.26E+05,1.36E+05,1.48E+05,1.60E+05,NA,5.151387007,NA,0.045148833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",5,CCMP1545,D,58,7.48E+05,7.32E+05,7.47E+05,7.20E+05,NA,5.867256354,NA,0.007796054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",0,0,H,"1,58",NA,NA,NA,NA,312.4143171,2.494730928,44.12480602,1.644682809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",1,0,H,"1,58",NA,NA,NA,NA,345.5106875,2.538461486,50.32949375,1.701822562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",2,0,H,"1,58",NA,NA,NA,NA,279.2311631,2.445963885,20.60902714,1.314057491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,58",5,0,H,"1,58",NA,NA,NA,NA,115.5372422,2.062721997,3.577445158,0.553572985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",0,MIT9215,P,1,1.36E+06,1.44E+06,1.30E+06,1.43E+06,NA,6.140720732,NA,0.019997016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",1,MIT9215,P,1,1.30E+06,1.27E+06,1.31E+06,1.27E+06,NA,6.110219001,NA,0.007713837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",2,MIT9215,P,1,9.82E+05,9.84E+05,8.66E+05,8.38E+05,NA,5.961251628,NA,0.036342405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",5,MIT9215,P,1,1.33E+06,1.32E+06,1.39E+06,1.45E+06,NA,6.137916861,NA,0.017812845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",0,CCMP2972A,D,59,9.40E+04,1.03E+05,7.30E+04,8.17E+04,NA,4.940159734,NA,0.066455228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",1,CCMP2972A,D,59,1.40E+05,1.60E+05,1.41E+05,1.60E+05,NA,5.175048771,NA,0.033570048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",2,CCMP2972A,D,59,3.99E+05,3.77E+05,3.14E+05,3.36E+05,NA,5.549923454,NA,0.046870149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",5,CCMP2972A,D,59,1.27E+06,1.24E+06,1.28E+06,1.35E+06,NA,6.109138829,NA,0.014508688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",0,0,H,"1,59",NA,NA,NA,NA,305.656847,2.485234129,9.35813429,0.971189273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",1,0,H,"1,59",NA,NA,NA,NA,335.9924434,2.52632951,9.217717032,0.964623372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",2,0,H,"1,59",NA,NA,NA,NA,269.9046686,2.431210397,0.824374683,-0.083875354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,59",5,0,H,"1,59",NA,NA,NA,NA,95.02881207,1.9778553,7.087518467,0.850494203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,60",0,MIT9215,P,1,1.33E+06,1.28E+06,1.30E+06,1.35E+06,NA,6.11908765,NA,0.009330197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,60",1,MIT9215,P,1,1.17E+06,1.13E+06,1.21E+06,1.24E+06,NA,6.07439272,NA,0.017164527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,60",2,MIT9215,P,1,1.76E+05,1.59E+05,1.77E+05,1.68E+05,NA,5.22986584,NA,0.021543719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,60",5,MIT9215,P,1,8.67E+04,8.50E+04,8.06E+04,8.66E+04,NA,4.927731954,NA,0.014691353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,60",0,CAOTH95,D,60,4.40E+04,4.49E+04,4.30E+04,4.18E+04,NA,4.637510194,NA,0.013277442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,60",1,CAOTH95,D,60,6.54E+04,6.81E+04,6.54E+04,5.70E+04,NA,4.804842172,NA,0.033569552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,60",2,CAOTH95,D,60,6.34E+04,5.85E+04,6.35E+04,5.98E+04,NA,4.787214334,NA,0.017932208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,60",5,CAOTH95,D,60,3.34E+04,3.10E+04,2.93E+04,3.30E+04,NA,4.500306692,NA,0.026215688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,60",0,0,H,"1,60",NA,NA,NA,NA,308.1237561,2.488725183,6.811942512,0.833270974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coculture_1,60",1,0,H,"1,60",NA,NA,NA,NA,340.9626463,2.532706803,4.502644372,0.653467647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
